time,memory usage
1480445896.018425,36192256
1480445899.580628,36192256
1480445903.382846,36192256
1480445906.821042,36192256
1480445910.072228,36257792
1480445913.271411,36257792
1480445916.631604,36257792
1480445920.356817,36257792
1480445924.051028,36257792
1480445927.862246,36257792
1480445931.219438,36257792
1480445934.625633,36257792
1480445938.171836,36257792
1480445941.778042,36270080
1480445945.346246,36270080
1480445948.757441,36270080
1480445952.437652,36270080
1480445955.647835,36270080
1480445958.993026,36270080
1480445962.166208,36270080
1480445965.336389,36270080
1480445968.881592,36286464
1480445972.218783,36286464
1480445975.596976,36286464
1480445978.886164,36261888
1480445982.202354,36261888
1480445985.939568,36261888
1480445989.389765,36261888
1480445992.705955,36261888
1480445996.110149,36261888
1480445999.400338,36261888
1480446002.655524,36261888
1480446006.168725,36229120
1480446009.656924,36229120
1480446013.002116,36229120
1480446016.504316,36229120
1480446019.883509,36229120
1480446023.296704,36229120
1480446026.744902,36229120
1480446030.180098,36229120
1480446033.979315,36229120
1480446037.269504,36229120
1480446040.600694,36229120
1480446044.112895,36229120
1480446047.51709,36229120
1480446050.83728,36229120
1480446054.271476,36229120
1480446057.408656,36229120
1480446060.789849,36229120
1480446064.175043,36229120
1480446067.817251,36229120
1480446071.241447,36229120
1480446074.713645,36229120
1480446077.852825,36229120
1480446081.146013,36229120
1480446084.355197,36229120
1480446087.673387,36229120
1480446090.932573,36229120
1480446094.341768,36229120
1480446097.784965,36229120
1480446101.209161,36229120
1480446104.647357,36229120
1480446107.898543,36229120
1480446112.230791,36229120
1480446115.672988,36229120
1480446118.958176,36229120
1480446122.948404,36229120
1480446126.536609,36229120
1480446129.924803,36229120
1480446133.219992,36229120
1480446136.672189,36229120
1480446140.114386,36229120
1480446143.246565,36229120
1480446146.542754,36229120
1480446149.61993,36229120
1480446153.016124,36229120
1480446156.354315,36229120
1480446159.779511,36229120
1480446163.26971,36229120
1480446166.298884,36229120
1480446169.532069,36229120
1480446172.945264,36229120
1480446176.37246,36229120
1480446179.740653,36229120
1480446183.055842,36229120
1480446186.33603,36229120
1480446189.692222,36229120
1480446192.963409,36229120
1480446196.428607,36229120
1480446199.949808,36229120
1480446203.439008,36229120
1480446206.942208,36229120
1480446210.183394,36229120
1480446213.303572,36229120
1480446216.958781,36229120
1480446220.290972,36229120
1480446223.613162,36229120
1480446226.924351,36229120
1480446230.330546,36229120
1480446233.432724,36229120
1480446236.822917,36229120
1480446240.101105,36229120
1480446243.264286,36229120
1480446246.49047,36229120
1480446249.752657,36229120
1480446253.30586,36229120
1480446256.424039,36229120
1480446259.95224,36229120
1480446263.469442,36229120
1480446266.667624,36229120
1480446269.961813,36229120
1480446273.258001,36229120
1480446276.603193,36229120
1480446279.712371,36229120
1480446282.943555,36229120
1480446286.577763,36229120
1480446290.204971,36229120
1480446293.395153,36229120
1480446296.83535,36229120
1480446300.145539,36229120
1480446303.720744,36229120
1480446306.896925,36229120
1480446310.199114,36229120
1480446313.502303,36229120
1480446316.897497,36229120
1480446320.392697,36229120
1480446323.9279,36229120
1480446327.4301,36229120
1480446330.950301,36229120
1480446334.043478,36229120
1480446337.194658,36229120
1480446340.626855,36229120
1480446343.904042,36229120
1480446347.324238,36229120
1480446350.711431,36229120
1480446353.952617,36229120
1480446357.403814,36229120
1480446360.625999,36229120
1480446363.918187,36229120
1480446367.241377,36229120
1480446370.906587,36229120
1480446374.161773,36229120
1480446377.379957,36229120
1480446380.483134,36229120
1480446383.784323,36229120
1480446387.280523,36229120
1480446390.475706,36229120
1480446393.846899,36229120
1480446397.243093,36229120
1480446400.653288,36229120
1480446403.847471,36229120
1480446407.056654,36229120
1480446410.360843,36229120
1480446413.636031,36229120
1480446416.843214,36229120
1480446420.123402,36229120
1480446423.571599,36229120
1480446426.939791,36229120
1480446430.221979,36229120
1480446433.662176,36229120
1480446436.977366,36229120
1480446440.221551,36229120
1480446443.472737,36229120
1480446446.835929,36229120
1480446450.187121,36229120
1480446453.759325,36229120
1480446456.960509,36229120
1480446460.211695,36229120
1480446463.699894,36229120
1480446466.834073,36229120
1480446470.285271,36229120
1480446473.473453,36229120
1480446476.840646,36229120
1480446480.23384,36229120
1480446483.872048,36229120
1480446487.161236,36229120
1480446490.38142,36229120
1480446493.977626,36229120
1480446497.268814,36229120
1480446500.495999,36261888
1480446503.969197,38432768
1480446507.106377,38432768
1480446510.328561,38432768
1480446513.62975,38432768
1480446516.698925,38432768
1480446519.886108,38432768
1480446523.399309,38432768
1480446526.859507,38432768
1480446530.07369,38506496
1480446533.120865,38506496
1480446536.323048,38506496
1480446539.774245,38457344
1480446543.038432,38457344
1480446546.132609,38457344
1480446549.259788,38457344
1480446552.507974,38457344
1480446555.790161,38457344
1480446558.977344,38457344
1480446562.363537,38457344
1480446565.772732,38457344
1480446569.153926,38457344
1480446572.456115,38457344
1480446575.755303,38457344
1480446579.01349,38457344
1480446582.414684,38457344
1480446585.66287,38457344
1480446588.897055,38457344
1480446592.084237,38457344
1480446595.337423,38457344
1480446598.546607,38424576
1480446601.74879,38424576
1480446605.097982,38424576
1480446608.476175,38424576
1480446611.663357,38424576
1480446614.971546,38424576
1480446618.210732,38424576
1480446621.32291,38424576
1480446624.491091,38424576
1480446627.695274,38424576
1480446630.833454,38424576
1480446634.287651,38424576
1480446637.530837,38424576
1480446640.945032,38424576
1480446644.149215,38424576
1480446647.410402,38424576
1480446650.598584,38424576
1480446653.727763,38424576
1480446657.015951,38391808
1480446660.133129,38391808
1480446663.382315,38391808
1480446666.565497,38391808
1480446669.737679,38391808
1480446673.047868,38391808
1480446676.375058,38391808
1480446679.980265,38391808
1480446683.491465,38391808
1480446686.600643,38391808
1480446689.840829,38391808
1480446693.071013,38391808
1480446696.345201,38391808
1480446699.512382,38391808
1480446702.79557,38391808
1480446706.021754,38391808
1480446709.330943,38391808
1480446712.610131,38391808
1480446715.799313,38391808
1480446718.942493,38391808
1480446722.135676,38391808
1480446725.433864,38391808
1480446728.652048,38391808
1480446731.850231,38391808
1480446735.181422,38391808
1480446738.2916,38391808
1480446741.550786,38391808
1480446744.710967,38391808
1480446747.859147,38391808
1480446750.982326,38391808
1480446754.125505,38391808
1480446757.465696,38391808
1480446760.703882,38391808
1480446764.031072,38391808
1480446767.268257,38391808
1480446770.625449,38391808
1480446774.005643,38391808
1480446777.123821,38391808
1480446780.375007,38391808
1480446783.548188,38391808
1480446786.669367,38391808
1480446790.028559,38391808
1480446793.258744,38391808
1480446796.526931,38391808
1480446800.045132,38391808
1480446803.279317,38391808
1480446806.4755,38391808
1480446809.850693,38391808
1480446813.093878,38391808
1480446816.325063,38391808
1480446819.494244,38391808
1480446822.73643,38391808
1480446825.985616,38391808
1480446829.122795,38391808
1480446832.450985,38391808
1480446835.559163,38391808
1480446838.808349,38391808
1480446841.947529,38391808
